epoch,step,train_loss,val_loss
0,3,,0.022314995527267456
1,7,,-0.00945921428501606
2,11,,-0.04163509979844093
3,15,,-0.07678968459367752
4,19,,-0.12094336748123169
5,23,,-0.17906217277050018
6,27,,-0.2590179741382599
7,31,,-0.36997130513191223
8,35,,-0.527180016040802
9,39,,-0.7450384497642517
10,43,,-0.9726355671882629
11,47,,-1.0875211954116821
12,49,-0.574018657207489,
12,51,,-1.0670299530029297
13,55,,-1.0358014106750488
14,59,,-1.034085750579834
15,63,,-1.083372950553894
16,67,,-1.1483274698257446
17,71,,-1.2037099599838257
18,75,,-1.2246006727218628
19,79,,-1.2649528980255127
20,83,,-1.3172004222869873
21,87,,-1.3115417957305908
22,91,,-1.28207266330719
23,95,,-1.2949260473251343
24,99,-1.0620731115341187,
24,99,,-1.3510748147964478
25,103,,-1.4042608737945557
26,107,,-1.397933006286621
27,111,,-1.3707062005996704
28,115,,-1.406147837638855
29,119,,-1.4418858289718628
30,123,,-1.423989176750183
31,127,,-1.4238325357437134
32,131,,-1.4441112279891968
33,135,,-1.4345197677612305
34,139,,-1.459648609161377
