epoch,step,val_loss
0,0,-0.042463067919015884
1,1,-0.05677363649010658
2,2,-0.0713878870010376
3,3,-0.08621981739997864
4,4,-0.1007995754480362
5,5,-0.11529489606618881
6,6,-0.12984347343444824
7,7,-0.14465807378292084
8,8,-0.15968208014965057
9,9,-0.17476516962051392
10,10,-0.1899186223745346
11,11,-0.20522555708885193
12,12,-0.2207607626914978
13,13,-0.2363073080778122
14,14,-0.251330703496933
15,15,-0.2651697099208832
16,16,-0.2785523533821106
17,17,-0.29082733392715454
18,18,-0.30260464549064636
19,19,-0.31336545944213867
20,20,-0.32389265298843384
21,21,-0.3361472189426422
22,22,-0.35256487131118774
23,23,-0.37391722202301025
24,24,-0.4019302427768707
25,25,-0.4370822310447693
26,26,-0.480380117893219
27,27,-0.5328549146652222
28,28,-0.595950186252594
29,29,-0.6692386865615845
30,30,-0.7540164589881897
31,31,-0.8431256413459778
32,32,-0.9306966066360474
33,33,-1.0142757892608643
34,34,-1.086292028427124
