epoch,step,train_loss,val_loss
0,1,,-0.053338371217250824
1,3,,-0.06799672544002533
2,5,,-0.08307072520256042
3,7,,-0.09837967902421951
4,9,,-0.11482971906661987
5,11,,-0.13230489194393158
6,13,,-0.15082144737243652
7,15,,-0.17070864140987396
8,17,,-0.1928396224975586
9,19,,-0.21755683422088623
10,21,,-0.24433746933937073
11,23,,-0.27343297004699707
12,25,,-0.3063879609107971
13,27,,-0.3435938358306885
14,29,,-0.38568589091300964
15,31,,-0.4332501292228699
16,33,,-0.4853338599205017
17,35,,-0.5415014624595642
18,37,,-0.5994758605957031
19,39,,-0.6563429832458496
20,41,,-0.7117803692817688
21,43,,-0.7486194372177124
22,45,,-0.791669487953186
23,47,,-0.842607855796814
24,49,-0.8646993637084961,
24,49,,-0.8880459666252136
25,51,,-0.9272767901420593
26,53,,-0.9561667442321777
27,55,,-0.9908117055892944
28,57,,-1.0294406414031982
29,59,,-1.0650981664657593
30,61,,-1.0913978815078735
31,63,,-1.122606635093689
32,65,,-1.1649738550186157
33,67,,-1.2098214626312256
34,69,,-1.2516320943832397
35,71,,-1.2932277917861938
36,73,,-1.332984447479248
37,75,,-1.3632888793945312
38,77,,-1.4104671478271484
39,79,,-1.4321292638778687
40,81,,-1.4322820901870728
41,83,,-1.4196193218231201
42,85,,-1.3985902070999146
43,87,,-1.4219454526901245
44,89,,-1.459076166152954
45,91,,-1.479102373123169
46,93,,-1.5013372898101807
47,95,,-1.5121809244155884
48,97,,-1.5343778133392334
49,99,-1.2628432512283325,
49,99,,-1.533773422241211
50,101,,-1.5112531185150146
51,103,,-1.458068609237671
52,105,,-1.424144983291626
53,107,,-1.4208191633224487
54,109,,-1.4405711889266968
55,111,,-1.4600754976272583
56,113,,-1.4852044582366943
57,115,,-1.5111331939697266
58,117,,-1.5389569997787476
59,119,,-1.556244969367981
60,121,,-1.5854400396347046
61,123,,-1.56449294090271
62,125,,-1.5138936042785645
63,127,,-1.4713690280914307
64,129,,-1.4518003463745117
65,131,,-1.444695234298706
66,133,,-1.4289295673370361
67,135,,-1.4088321924209595
68,137,,-1.4163414239883423
69,139,,-1.4661202430725098
70,141,,-1.5344890356063843
71,143,,-1.5861657857894897
72,145,,-1.5696839094161987
73,147,,-1.5418199300765991
74,149,-1.367685079574585,
74,149,,-1.5134333372116089
75,151,,-1.4647314548492432
76,153,,-1.4253394603729248
77,155,,-1.4034777879714966
78,157,,-1.4121382236480713
79,159,,-1.4615747928619385
80,161,,-1.51450514793396
81,163,,-1.546482801437378
82,165,,-1.582226037979126
83,167,,-1.5846760272979736
84,169,,-1.559187650680542
85,171,,-1.5387346744537354
86,173,,-1.534930944442749
87,175,,-1.5410594940185547
88,177,,-1.544791340827942
89,179,,-1.5252275466918945
90,181,,-1.5017555952072144
91,183,,-1.497776746749878
92,185,,-1.4933100938796997
93,187,,-1.4982823133468628
94,189,,-1.5301998853683472
95,191,,-1.5652799606323242
96,193,,-1.5821301937103271
97,195,,-1.5779898166656494
98,197,,-1.5657695531845093
99,199,-1.6277095079421997,
99,199,,-1.5672088861465454
